,variable,value
176,MonthlyCharges,74.45
177,MonthlyCharges,76.45
178,MonthlyCharges,105.35
179,MonthlyCharges,20.55
180,MonthlyCharges,29.95
181,MonthlyCharges,45.3
182,MonthlyCharges,84.5
183,MonthlyCharges,74.75
184,MonthlyCharges,79.25
185,MonthlyCharges,24.8
186,MonthlyCharges,51.8
187,MonthlyCharges,30.4
188,MonthlyCharges,19.65
189,MonthlyCharges,56.6
190,MonthlyCharges,71.9
191,MonthlyCharges,91.0
192,MonthlyCharges,19.75
193,MonthlyCharges,109.7
194,MonthlyCharges,19.3
195,MonthlyCharges,96.55
196,MonthlyCharges,24.1
197,MonthlyCharges,111.35
198,MonthlyCharges,112.25
199,MonthlyCharges,20.75
200,MonthlyCharges,101.9
201,MonthlyCharges,80.05
202,MonthlyCharges,105.55
203,MonthlyCharges,78.3
204,MonthlyCharges,68.85
205,MonthlyCharges,79.95
206,MonthlyCharges,55.45
207,MonthlyCharges,79.9
208,MonthlyCharges,106.6
209,MonthlyCharges,102.45
210,MonthlyCharges,46.0
211,MonthlyCharges,25.25
212,MonthlyCharges,19.75
213,MonthlyCharges,20.0
214,MonthlyCharges,86.8
215,MonthlyCharges,58.75
216,MonthlyCharges,45.25
217,MonthlyCharges,56.6
218,MonthlyCharges,84.2
219,MonthlyCharges,80.0
220,MonthlyCharges,70.15
221,MonthlyCharges,24.75
222,MonthlyCharges,20.2
223,MonthlyCharges,50.05
224,MonthlyCharges,19.35
225,MonthlyCharges,50.6
226,MonthlyCharges,81.15
227,MonthlyCharges,55.2
228,MonthlyCharges,89.9
229,MonthlyCharges,85.3
230,MonthlyCharges,108.0
231,MonthlyCharges,93.5
232,MonthlyCharges,84.6
233,MonthlyCharges,20.25
234,MonthlyCharges,25.15
235,MonthlyCharges,54.4
236,MonthlyCharges,29.6
237,MonthlyCharges,73.15
238,MonthlyCharges,95.0
239,MonthlyCharges,19.75
240,MonthlyCharges,86.6
241,MonthlyCharges,109.2
242,MonthlyCharges,74.7
243,MonthlyCharges,94.4
244,MonthlyCharges,54.8
245,MonthlyCharges,75.35
246,MonthlyCharges,65.0
247,MonthlyCharges,74.4
248,MonthlyCharges,48.55
249,MonthlyCharges,99.0
250,MonthlyCharges,93.5
251,MonthlyCharges,70.4
252,MonthlyCharges,40.2
253,MonthlyCharges,83.7
254,MonthlyCharges,19.85
255,MonthlyCharges,59.55
256,MonthlyCharges,115.1
257,MonthlyCharges,114.35
258,MonthlyCharges,44.6
259,MonthlyCharges,45.0
260,MonthlyCharges,41.15
261,MonthlyCharges,106.9
262,MonthlyCharges,89.85
263,MonthlyCharges,49.85
264,MonthlyCharges,113.3
265,MonthlyCharges,88.1
266,MonthlyCharges,24.9
267,MonthlyCharges,105.0
268,MonthlyCharges,19.35
269,MonthlyCharges,24.25
270,MonthlyCharges,94.45
271,MonthlyCharges,59.75
272,MonthlyCharges,24.8
273,MonthlyCharges,107.05
274,MonthlyCharges,70.6
275,MonthlyCharges,85.4
276,MonthlyCharges,105.05
277,MonthlyCharges,64.95
278,MonthlyCharges,55.0
279,MonthlyCharges,50.55
280,MonthlyCharges,55.15
281,MonthlyCharges,51.2
282,MonthlyCharges,25.4
283,MonthlyCharges,54.45
284,MonthlyCharges,95.15
285,MonthlyCharges,76.0
286,MonthlyCharges,44.35
287,MonthlyCharges,70.0
288,MonthlyCharges,74.5
289,MonthlyCharges,44.85
290,MonthlyCharges,76.1
291,MonthlyCharges,61.2
292,MonthlyCharges,86.8
293,MonthlyCharges,89.35
294,MonthlyCharges,19.7
295,MonthlyCharges,20.25
296,MonthlyCharges,76.05
297,MonthlyCharges,100.8
298,MonthlyCharges,74.55
299,MonthlyCharges,73.6
300,MonthlyCharges,64.9
301,MonthlyCharges,95.45
302,MonthlyCharges,90.4
303,MonthlyCharges,60.3
304,MonthlyCharges,81.85
305,MonthlyCharges,24.8
306,MonthlyCharges,74.9
307,MonthlyCharges,75.55
308,MonthlyCharges,101.15
309,MonthlyCharges,78.75
310,MonthlyCharges,19.25
311,MonthlyCharges,89.05
312,MonthlyCharges,115.05
313,MonthlyCharges,69.35
314,MonthlyCharges,80.6
315,MonthlyCharges,110.05
316,MonthlyCharges,19.9
317,MonthlyCharges,80.3
318,MonthlyCharges,93.15
319,MonthlyCharges,91.5
320,MonthlyCharges,82.45
321,MonthlyCharges,60.0
322,MonthlyCharges,44.8
323,MonthlyCharges,48.6
324,MonthlyCharges,60.05
325,MonthlyCharges,102.7
326,MonthlyCharges,82.9
327,MonthlyCharges,70.35
328,MonthlyCharges,35.9
329,MonthlyCharges,82.65
330,MonthlyCharges,19.85
331,MonthlyCharges,19.2
332,MonthlyCharges,94.9
333,MonthlyCharges,73.85
334,MonthlyCharges,80.6
335,MonthlyCharges,75.8
336,MonthlyCharges,104.6
337,MonthlyCharges,88.15
338,MonthlyCharges,94.8
339,MonthlyCharges,103.4
340,MonthlyCharges,54.65
341,MonthlyCharges,85.75
342,MonthlyCharges,67.45
343,MonthlyCharges,20.5
344,MonthlyCharges,20.25
345,MonthlyCharges,72.1
346,MonthlyCharges,90.4
347,MonthlyCharges,19.45
348,MonthlyCharges,44.95
349,MonthlyCharges,97.0
350,MonthlyCharges,62.8
351,MonthlyCharges,44.6
352,MonthlyCharges,89.15
353,MonthlyCharges,84.8
354,MonthlyCharges,41.9
355,MonthlyCharges,80.25
356,MonthlyCharges,54.1
357,MonthlyCharges,105.25
358,MonthlyCharges,30.75
359,MonthlyCharges,97.1
360,MonthlyCharges,20.2
361,MonthlyCharges,98.8
362,MonthlyCharges,50.3
363,MonthlyCharges,20.55
364,MonthlyCharges,75.9
365,MonthlyCharges,96.5
366,MonthlyCharges,59.95
367,MonthlyCharges,19.15
368,MonthlyCharges,98.65
369,MonthlyCharges,112.6
370,MonthlyCharges,20.6
371,MonthlyCharges,85.65
372,MonthlyCharges,35.75
373,MonthlyCharges,99.75
374,MonthlyCharges,96.1
375,MonthlyCharges,85.1
376,MonthlyCharges,25.35
377,MonthlyCharges,104.95
378,MonthlyCharges,89.65
379,MonthlyCharges,86.75
380,MonthlyCharges,86.2
381,MonthlyCharges,50.65
382,MonthlyCharges,64.8
383,MonthlyCharges,90.85
384,MonthlyCharges,108.1
385,MonthlyCharges,19.95
386,MonthlyCharges,85.45
387,MonthlyCharges,54.75
388,MonthlyCharges,90.4
389,MonthlyCharges,44.0
390,MonthlyCharges,95.6
391,MonthlyCharges,84.8
392,MonthlyCharges,44.3
393,MonthlyCharges,19.9
394,MonthlyCharges,95.05
395,MonthlyCharges,90.05
396,MonthlyCharges,109.9
397,MonthlyCharges,73.95
398,MonthlyCharges,54.6
399,MonthlyCharges,20.05
400,MonthlyCharges,19.75
401,MonthlyCharges,20.05
402,MonthlyCharges,99.45
403,MonthlyCharges,55.9
404,MonthlyCharges,19.7
405,MonthlyCharges,19.8
406,MonthlyCharges,95.4
407,MonthlyCharges,93.95
408,MonthlyCharges,19.9
409,MonthlyCharges,19.6
410,MonthlyCharges,81.35
411,MonthlyCharges,24.45
412,MonthlyCharges,74.95
413,MonthlyCharges,87.35
414,MonthlyCharges,70.65
415,MonthlyCharges,73.25
416,MonthlyCharges,98.7
417,MonthlyCharges,24.8
418,MonthlyCharges,83.3
419,MonthlyCharges,75.3
420,MonthlyCharges,24.3
421,MonthlyCharges,69.85
422,MonthlyCharges,100.55
423,MonthlyCharges,25.7
424,MonthlyCharges,40.7
425,MonthlyCharges,51.65
426,MonthlyCharges,105.1
427,MonthlyCharges,85.95
428,MonthlyCharges,75.6
429,MonthlyCharges,58.25
430,MonthlyCharges,19.4
431,MonthlyCharges,65.2
432,MonthlyCharges,53.45
433,MonthlyCharges,45.4
434,MonthlyCharges,19.75
435,MonthlyCharges,44.45
436,MonthlyCharges,20.85
437,MonthlyCharges,114.05
438,MonthlyCharges,89.85
439,MonthlyCharges,55.05
440,MonthlyCharges,112.95
441,MonthlyCharges,101.55
442,MonthlyCharges,114.65
443,MonthlyCharges,64.8
444,MonthlyCharges,80.4
445,MonthlyCharges,105.9
446,MonthlyCharges,69.55
447,MonthlyCharges,25.05
448,MonthlyCharges,94.75
449,MonthlyCharges,105.5
450,MonthlyCharges,24.7
451,MonthlyCharges,69.75
452,MonthlyCharges,60.2
453,MonthlyCharges,81.05
454,MonthlyCharges,24.4
455,MonthlyCharges,104.15
456,MonthlyCharges,92.9
457,MonthlyCharges,80.8
458,MonthlyCharges,20.0
459,MonthlyCharges,75.1
460,MonthlyCharges,19.65
461,MonthlyCharges,69.45
462,MonthlyCharges,101.15
463,MonthlyCharges,99.8
464,MonthlyCharges,116.05
465,MonthlyCharges,40.05
466,MonthlyCharges,102.1
467,MonthlyCharges,89.7
468,MonthlyCharges,19.9
469,MonthlyCharges,55.95
470,MonthlyCharges,20.65
471,MonthlyCharges,55.0
472,MonthlyCharges,70.05
473,MonthlyCharges,53.6
474,MonthlyCharges,74.7
475,MonthlyCharges,80.25
476,MonthlyCharges,76.05
477,MonthlyCharges,75.7
478,MonthlyCharges,96.1
479,MonthlyCharges,69.0
480,MonthlyCharges,19.65
481,MonthlyCharges,45.3
482,MonthlyCharges,81.45
483,MonthlyCharges,108.5
484,MonthlyCharges,83.55
485,MonthlyCharges,84.5
486,MonthlyCharges,100.15
487,MonthlyCharges,88.6
488,MonthlyCharges,74.35
489,MonthlyCharges,104.8
490,MonthlyCharges,59.0
491,MonthlyCharges,74.4
492,MonthlyCharges,64.05
493,MonthlyCharges,20.4
494,MonthlyCharges,43.75
495,MonthlyCharges,60.9
496,MonthlyCharges,19.8
497,MonthlyCharges,28.45
498,MonthlyCharges,99.7
499,MonthlyCharges,116.25
500,MonthlyCharges,80.7
501,MonthlyCharges,65.2
502,MonthlyCharges,84.05
503,MonthlyCharges,79.45
504,MonthlyCharges,94.1
505,MonthlyCharges,78.0
506,MonthlyCharges,94.2
507,MonthlyCharges,80.5
508,MonthlyCharges,19.85
509,MonthlyCharges,94.3
510,MonthlyCharges,106.45
511,MonthlyCharges,74.35
512,MonthlyCharges,105.45
513,MonthlyCharges,95.0
514,MonthlyCharges,104.8
515,MonthlyCharges,54.3
516,MonthlyCharges,70.05
517,MonthlyCharges,75.2
518,MonthlyCharges,20.05
519,MonthlyCharges,105.4
520,MonthlyCharges,51.6
521,MonthlyCharges,85.5
522,MonthlyCharges,75.6
523,MonthlyCharges,100.05
524,MonthlyCharges,91.25
525,MonthlyCharges,115.75
526,MonthlyCharges,94.7
527,MonthlyCharges,19.6
528,MonthlyCharges,99.9
529,MonthlyCharges,21.1
530,MonthlyCharges,20.05
531,MonthlyCharges,79.95
532,MonthlyCharges,107.15
533,MonthlyCharges,85.0
534,MonthlyCharges,89.55
535,MonthlyCharges,81.55
536,MonthlyCharges,58.45
537,MonthlyCharges,95.65
538,MonthlyCharges,80.6
539,MonthlyCharges,113.1
540,MonthlyCharges,58.95
541,MonthlyCharges,19.55
542,MonthlyCharges,86.05
543,MonthlyCharges,45.55
544,MonthlyCharges,78.95
545,MonthlyCharges,86.3
546,MonthlyCharges,105.05
547,MonthlyCharges,101.9
548,MonthlyCharges,19.75
549,MonthlyCharges,110.3
550,MonthlyCharges,115.6
551,MonthlyCharges,19.35
552,MonthlyCharges,25.6
553,MonthlyCharges,80.35
554,MonthlyCharges,68.75
555,MonthlyCharges,19.9
556,MonthlyCharges,70.6
557,MonthlyCharges,70.2
558,MonthlyCharges,49.3
559,MonthlyCharges,107.25
560,MonthlyCharges,23.6
561,MonthlyCharges,69.7
562,MonthlyCharges,99.5
563,MonthlyCharges,64.3
564,MonthlyCharges,70.85
565,MonthlyCharges,101.9
566,MonthlyCharges,73.5
567,MonthlyCharges,100.25
568,MonthlyCharges,40.4
569,MonthlyCharges,19.25
570,MonthlyCharges,59.6
571,MonthlyCharges,64.9
572,MonthlyCharges,100.3
573,MonthlyCharges,110.85
574,MonthlyCharges,81.05
575,MonthlyCharges,98.05
576,MonthlyCharges,70.5
577,MonthlyCharges,94.55
578,MonthlyCharges,19.65
579,MonthlyCharges,19.0
580,MonthlyCharges,75.3
581,MonthlyCharges,89.2
582,MonthlyCharges,19.0
583,MonthlyCharges,20.0
584,MonthlyCharges,85.7
585,MonthlyCharges,63.25
586,MonthlyCharges,20.1
587,MonthlyCharges,99.15
588,MonthlyCharges,90.4
589,MonthlyCharges,111.9
590,MonthlyCharges,24.9
591,MonthlyCharges,83.5
592,MonthlyCharges,84.3
593,MonthlyCharges,45.6
594,MonthlyCharges,61.65
595,MonthlyCharges,54.85
596,MonthlyCharges,65.55
597,MonthlyCharges,90.35
598,MonthlyCharges,20.4
599,MonthlyCharges,74.55
600,MonthlyCharges,19.95
601,MonthlyCharges,74.25
602,MonthlyCharges,108.65
603,MonthlyCharges,109.55
604,MonthlyCharges,86.65
605,MonthlyCharges,81.0
606,MonthlyCharges,47.85
607,MonthlyCharges,114.55
608,MonthlyCharges,105.25
609,MonthlyCharges,29.95
610,MonthlyCharges,65.0
611,MonthlyCharges,20.55
612,MonthlyCharges,109.8
613,MonthlyCharges,69.5
614,MonthlyCharges,48.85
615,MonthlyCharges,25.25
616,MonthlyCharges,102.85
617,MonthlyCharges,87.55
618,MonthlyCharges,78.55
619,MonthlyCharges,34.55
620,MonthlyCharges,92.05
621,MonthlyCharges,85.05
622,MonthlyCharges,19.7
623,MonthlyCharges,20.0
624,MonthlyCharges,95.15
625,MonthlyCharges,84.25
626,MonthlyCharges,104.6
627,MonthlyCharges,111.65
628,MonthlyCharges,90.05
629,MonthlyCharges,110.75
630,MonthlyCharges,55.0
631,MonthlyCharges,89.85
632,MonthlyCharges,20.35
633,MonthlyCharges,54.55
634,MonthlyCharges,105.5
635,MonthlyCharges,99.45
636,MonthlyCharges,70.9
637,MonthlyCharges,104.55
638,MonthlyCharges,85.25
639,MonthlyCharges,25.4
640,MonthlyCharges,56.15
641,MonthlyCharges,89.55
642,MonthlyCharges,89.85
643,MonthlyCharges,25.25
644,MonthlyCharges,94.55
645,MonthlyCharges,45.7
646,MonthlyCharges,69.65
647,MonthlyCharges,89.5
648,MonthlyCharges,70.0
649,MonthlyCharges,69.55
650,MonthlyCharges,74.6
651,MonthlyCharges,20.1
652,MonthlyCharges,24.8
653,MonthlyCharges,19.65
654,MonthlyCharges,95.1
655,MonthlyCharges,88.85
656,MonthlyCharges,78.8
657,MonthlyCharges,19.85
658,MonthlyCharges,20.35
659,MonthlyCharges,24.25
660,MonthlyCharges,45.25
661,MonthlyCharges,20.05
662,MonthlyCharges,69.55
663,MonthlyCharges,19.5
664,MonthlyCharges,74.75
665,MonthlyCharges,69.65
666,MonthlyCharges,30.2
667,MonthlyCharges,45.65
668,MonthlyCharges,57.8
669,MonthlyCharges,19.85
670,MonthlyCharges,25.55
671,MonthlyCharges,75.05
672,MonthlyCharges,24.85
673,MonthlyCharges,49.15
674,MonthlyCharges,110.35
675,MonthlyCharges,24.55
676,MonthlyCharges,34.7
677,MonthlyCharges,107.95
678,MonthlyCharges,81.4
679,MonthlyCharges,80.0
680,MonthlyCharges,73.8
681,MonthlyCharges,64.4
682,MonthlyCharges,103.75
683,MonthlyCharges,71.1
684,MonthlyCharges,49.9
685,MonthlyCharges,24.6
686,MonthlyCharges,49.25
687,MonthlyCharges,30.1
688,MonthlyCharges,83.4
689,MonthlyCharges,20.45
690,MonthlyCharges,75.25
691,MonthlyCharges,20.55
692,MonthlyCharges,75.1
693,MonthlyCharges,20.05
694,MonthlyCharges,20.65
695,MonthlyCharges,85.15
696,MonthlyCharges,50.15
697,MonthlyCharges,84.95
698,MonthlyCharges,66.5
699,MonthlyCharges,63.3
700,MonthlyCharges,83.15
701,MonthlyCharges,84.9
702,MonthlyCharges,20.55
703,MonthlyCharges,49.25
704,MonthlyCharges,79.85
705,MonthlyCharges,59.6
706,MonthlyCharges,104.65
707,MonthlyCharges,75.3
708,MonthlyCharges,80.1
709,MonthlyCharges,19.55
710,MonthlyCharges,81.0
711,MonthlyCharges,24.7
712,MonthlyCharges,86.0
713,MonthlyCharges,25.4
714,MonthlyCharges,89.15
715,MonthlyCharges,58.25
716,MonthlyCharges,85.65
717,MonthlyCharges,50.35
718,MonthlyCharges,80.35
719,MonthlyCharges,20.2
720,MonthlyCharges,20.55
721,MonthlyCharges,85.95
722,MonthlyCharges,45.35
723,MonthlyCharges,94.5
724,MonthlyCharges,21.25
725,MonthlyCharges,26.25
726,MonthlyCharges,80.85
727,MonthlyCharges,91.7
728,MonthlyCharges,74.2
729,MonthlyCharges,87.25
730,MonthlyCharges,20.35
731,MonthlyCharges,75.5
732,MonthlyCharges,79.05
733,MonthlyCharges,90.15
734,MonthlyCharges,50.6
735,MonthlyCharges,110.45
736,MonthlyCharges,101.0
737,MonthlyCharges,79.35
738,MonthlyCharges,89.85
739,MonthlyCharges,65.0
740,MonthlyCharges,80.45
741,MonthlyCharges,98.55
742,MonthlyCharges,24.1
743,MonthlyCharges,44.05
744,MonthlyCharges,110.8
745,MonthlyCharges,114.95
746,MonthlyCharges,75.05
747,MonthlyCharges,19.25
748,MonthlyCharges,90.05
749,MonthlyCharges,56.7
750,MonthlyCharges,80.15
751,MonthlyCharges,71.35
752,MonthlyCharges,90.35
753,MonthlyCharges,98.55
754,MonthlyCharges,19.7
755,MonthlyCharges,19.85
756,MonthlyCharges,85.9
757,MonthlyCharges,90.35
758,MonthlyCharges,20.8
759,MonthlyCharges,89.25
760,MonthlyCharges,70.3
761,MonthlyCharges,66.85
762,MonthlyCharges,19.9
763,MonthlyCharges,35.8
764,MonthlyCharges,78.85
765,MonthlyCharges,20.4
766,MonthlyCharges,74.25
767,MonthlyCharges,64.8
768,MonthlyCharges,20.45
769,MonthlyCharges,93.35
770,MonthlyCharges,19.9
771,MonthlyCharges,88.9
772,MonthlyCharges,95.8
773,MonthlyCharges,110.65
774,MonthlyCharges,40.3
775,MonthlyCharges,82.0
776,MonthlyCharges,107.0
777,MonthlyCharges,45.35
778,MonthlyCharges,73.35
779,MonthlyCharges,44.8
780,MonthlyCharges,54.75
781,MonthlyCharges,52.2
782,MonthlyCharges,40.6
783,MonthlyCharges,110.0
784,MonthlyCharges,55.3
785,MonthlyCharges,60.85
786,MonthlyCharges,78.4
787,MonthlyCharges,69.65
788,MonthlyCharges,59.85
789,MonthlyCharges,76.9
790,MonthlyCharges,19.85
791,MonthlyCharges,67.65
792,MonthlyCharges,45.0
793,MonthlyCharges,64.2
794,MonthlyCharges,81.7
795,MonthlyCharges,25.55
796,MonthlyCharges,20.0
797,MonthlyCharges,96.75
798,MonthlyCharges,75.65
799,MonthlyCharges,98.5
800,MonthlyCharges,23.8
801,MonthlyCharges,64.2
802,MonthlyCharges,85.35
803,MonthlyCharges,76.8
804,MonthlyCharges,55.2
805,MonthlyCharges,108.55
806,MonthlyCharges,101.3
807,MonthlyCharges,69.55
808,MonthlyCharges,103.25
809,MonthlyCharges,104.0
810,MonthlyCharges,25.25
811,MonthlyCharges,30.4
812,MonthlyCharges,20.05
813,MonthlyCharges,84.6
814,MonthlyCharges,86.2
815,MonthlyCharges,103.7
816,MonthlyCharges,111.2
817,MonthlyCharges,88.0
818,MonthlyCharges,106.35
819,MonthlyCharges,79.15
820,MonthlyCharges,103.1
821,MonthlyCharges,63.95
822,MonthlyCharges,25.8
823,MonthlyCharges,89.45
824,MonthlyCharges,95.6
825,MonthlyCharges,25.55
826,MonthlyCharges,90.95
827,MonthlyCharges,44.85
828,MonthlyCharges,108.55
829,MonthlyCharges,25.05
830,MonthlyCharges,74.1
831,MonthlyCharges,88.8
832,MonthlyCharges,78.85
833,MonthlyCharges,93.25
834,MonthlyCharges,71.4
835,MonthlyCharges,44.4
836,MonthlyCharges,79.2
837,MonthlyCharges,20.4
838,MonthlyCharges,100.0
839,MonthlyCharges,105.0
840,MonthlyCharges,19.8
841,MonthlyCharges,30.85
842,MonthlyCharges,89.9
843,MonthlyCharges,20.55
844,MonthlyCharges,84.85
845,MonthlyCharges,33.15
846,MonthlyCharges,92.0
847,MonthlyCharges,89.8
848,MonthlyCharges,115.8
849,MonthlyCharges,85.15
850,MonthlyCharges,24.85
851,MonthlyCharges,64.35
852,MonthlyCharges,20.5
853,MonthlyCharges,100.15
854,MonthlyCharges,86.05
855,MonthlyCharges,50.8
856,MonthlyCharges,89.0
857,MonthlyCharges,64.8
858,MonthlyCharges,19.8
859,MonthlyCharges,93.4
860,MonthlyCharges,73.65
861,MonthlyCharges,95.1
862,MonthlyCharges,94.65
863,MonthlyCharges,80.6
864,MonthlyCharges,39.0
865,MonthlyCharges,20.5
866,MonthlyCharges,85.55
867,MonthlyCharges,26.4
868,MonthlyCharges,98.2
869,MonthlyCharges,97.55
870,MonthlyCharges,19.95
871,MonthlyCharges,50.8
872,MonthlyCharges,99.7
873,MonthlyCharges,34.8
874,MonthlyCharges,105.1
875,MonthlyCharges,60.15
876,MonthlyCharges,64.75
877,MonthlyCharges,54.65
878,MonthlyCharges,110.1
879,MonthlyCharges,19.3
880,MonthlyCharges,83.9
881,MonthlyCharges,111.25
882,MonthlyCharges,35.8
883,MonthlyCharges,20.05
884,MonthlyCharges,84.35
885,MonthlyCharges,110.5
886,MonthlyCharges,91.2
887,MonthlyCharges,100.55
888,MonthlyCharges,89.3
889,MonthlyCharges,103.85
890,MonthlyCharges,81.1
891,MonthlyCharges,24.6
892,MonthlyCharges,81.2
893,MonthlyCharges,94.3
894,MonthlyCharges,116.1
895,MonthlyCharges,105.55
896,MonthlyCharges,98.9
897,MonthlyCharges,94.4
898,MonthlyCharges,19.5
899,MonthlyCharges,98.3
900,MonthlyCharges,93.85
901,MonthlyCharges,105.6
902,MonthlyCharges,81.35
903,MonthlyCharges,100.5
904,MonthlyCharges,56.4
905,MonthlyCharges,65.35
906,MonthlyCharges,19.95
907,MonthlyCharges,111.25
908,MonthlyCharges,72.85
909,MonthlyCharges,89.0
910,MonthlyCharges,106.1
911,MonthlyCharges,20.05
912,MonthlyCharges,25.2
913,MonthlyCharges,73.55
914,MonthlyCharges,75.4
915,MonthlyCharges,65.55
916,MonthlyCharges,80.7
917,MonthlyCharges,104.55
918,MonthlyCharges,24.15
919,MonthlyCharges,20.45
920,MonthlyCharges,75.4
921,MonthlyCharges,79.7
922,MonthlyCharges,81.7
923,MonthlyCharges,76.3
924,MonthlyCharges,79.4
925,MonthlyCharges,81.15
926,MonthlyCharges,103.75
927,MonthlyCharges,86.45
928,MonthlyCharges,75.1
929,MonthlyCharges,80.6
930,MonthlyCharges,19.3
931,MonthlyCharges,84.6
